Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Actual (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Volt (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-17011][2015 USDM WRX MT (PR3) COBB Custom Features Gen2][Reflash: JasonBeirbrauer_2015WRX_TGV_EGR_stg2_EBCS_v8.ptm - Realtime: JasonBeirbrauer_2015WRX_TGV_EGR_stg2_EBCS_v8.ptm]
0.000,-1.56,-6.25,15.08,0,0.0,14.36,-9.44,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,401,0,7.00,0.88,91,106,1.06,203,822,0.00,0.000,5.1,0.00,0
0.015,-1.56,-6.25,15.07,0,0.0,14.36,-9.42,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,374,0,7.00,0.88,91,106,1.06,203,822,0.00,0.000,5.1,0.00,0
0.033,-1.56,-6.25,15.06,0,0.0,14.36,-9.41,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,408,0,7.00,0.88,91,106,1.06,203,821,0.00,0.000,5.1,0.00,0
0.056,-1.56,-6.25,15.10,0,0.0,14.36,-9.38,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,401,0,7.00,0.88,91,106,1.06,203,824,0.00,0.000,5.1,0.00,0
0.064,-1.56,-6.25,15.09,0,0.0,14.36,-9.44,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,388,0,7.00,0.88,91,106,1.06,203,824,0.00,0.000,5.1,0.00,0
0.089,-1.56,-6.25,15.09,0,0.0,14.36,-9.36,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,391,0,7.00,0.88,91,106,1.06,203,825,0.00,0.000,5.1,0.00,0
0.094,-1.56,-6.25,15.08,0,2.0,14.36,-9.41,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,393,0,7.00,0.88,91,106,1.06,203,825,6.59,0.000,5.1,0.00,0
0.124,-1.56,-6.25,15.08,0,3.5,14.36,-9.38,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,394,0,7.00,0.88,91,106,1.06,203,826,13.54,0.000,5.1,0.00,0
0.150,-1.56,-6.25,15.05,0,3.9,14.36,-9.41,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,372,0,7.00,0.88,91,106,1.06,203,826,14.45,0.000,5.1,0.00,0
0.154,-1.56,-4.69,15.06,0,5.1,14.36,-9.45,14.75,0.31,on,14.31,194,1.000,0.0,0.00,0.00,444,0,7.00,0.88,91,106,1.04,203,823,17.27,0.000,5.1,0.00,0
